Game URL,Vote_precentage
https://www.roblox.com/games/8073154099/The-Intruder?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8073154099&position=70&universeId=3109731140,91%
https://www.roblox.com/games/2537430692/Jenga?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2537430692&position=71&universeId=905198065,75%
https://www.roblox.com/games/5244411056/Bloxy-Bingo?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5244411056&position=72&universeId=1836146838,83%
https://www.roblox.com/games/7250769796/Build-to-Survive?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7250769796&position=73&universeId=2826640183,77%
https://www.roblox.com/games/6961824067/Fling-Things-and-People?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6961824067&position=74&universeId=2668101271,76%
https://www.roblox.com/games/11156779721/The-Survival-Game-BETA?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=11156779721&position=75&universeId=3989768869,81%
https://www.roblox.com/games/9346039031/Anniversary-My-Hello-Kitty-Cafe-Build?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9346039031&position=76&universeId=3494556606,97%
https://www.roblox.com/games/4111023553/Deepwoken-Verse-2?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4111023553&position=77&universeId=1359573625,88%
https://www.roblox.com/games/2551991523/Broken-Bones-IV?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2551991523&position=78&universeId=911750776,87%
https://www.roblox.com/games/5233782396/FYRANILI-Creatures-of-Sonaria?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5233782396&position=79&universeId=1831550657,87%
https://www.roblox.com/games/205224386/Hide-and-Seek-Extreme?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=205224386&position=80&universeId=93740418,91%
https://www.roblox.com/games/9224601490/LIGHTNING-2X-LUCK-Fruit-Battlegrounds?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9224601490&position=81&universeId=3457700596,90%
https://www.roblox.com/games/5856880701/H2O-Mermaid-Testing?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5856880701&position=82&universeId=2087494287,75%
https://www.roblox.com/games/10253248401/Elemental-Powers-Tycoon-Gravity?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=10253248401&position=83&universeId=3754482795,89%
https://www.roblox.com/games/9863691914/NEW-Backrooms-Morphs?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9863691914&position=84&universeId=3644787809,82%
https://www.roblox.com/games/8571687919/UNOfficial?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8571687919&position=85&universeId=3267012194,89%
https://www.roblox.com/games/4480809144/Granny-Multiplayer?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4480809144&position=86&universeId=1430007363,81%
