name,creator,likes,active_players,favorites,visits,created_date,update_date,genre,server_size,url
Your Bizarre Adventure,Bizarre Studios®,90%,"12,048","1,753,845",1655380405,02/02/2019,3/31/2023,RPG,20,https://www.roblox.com/games/2809202155/Your-Bizarre-Adventure?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2809202155&position=59&universeId=1016936714
Flee the Facility,A.W. Apps,92%,"7,460","8,317,066",3625019338,07/01/2017,1/24/2023,Horror,5,https://www.roblox.com/games/893973440/Flee-the-Facility?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=893973440&position=62&universeId=372226183
Insane Elevator,Digital Destruction,86%,"5,532","1,021,397",755801502,10/12/2019,05/05/2023,Adventure,24,https://www.roblox.com/games/4104106043/Insane-Elevator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4104106043&position=66&universeId=1358133289
Speed Draw,Studio Giraffe,87%,"8,637","886,857",472422450,07/10/2021,4/26/2023,All Genres,8,https://www.roblox.com/games/7074772062/Speed-Draw?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7074772062&position=63&universeId=2729513759
Escape Running Head,@manato48,78%,"12,171","1,260,072",1237464674,01/07/2021,05/08/2023,Horror,6,https://www.roblox.com/games/6205205961/Escape-Running-Head?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6205205961&position=64&universeId=2274830359
SCP Games and SCP Monsters,@lolbuih,80%,"4,862","386,787",328940620,8/14/2021,05/11/2023,Horror,20,https://www.roblox.com/games/7253149844/SCP-Games-and-SCP-Monsters?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7253149844&position=61&universeId=2827951974
The Mimic,@MUCDICH,90%,"3,319","2,327,675",665799488,1/15/2021,05/10/2023,Horror,35,https://www.roblox.com/games/6243699076/The-Mimic?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6243699076&position=60&universeId=2294168059
Squid Game,BloxSquid,56%,"3,795","222,156",414423342,10/08/2021,4/26/2023,All Genres,50,https://www.roblox.com/games/7678601903/Squid-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7678601903&position=68&universeId=2981978342
Emergency Response Liberty County,Police Roleplay Community,91%,"8,341","2,168,703",600844389,11/01/2018,05/11/2023,Town and City,35,https://www.roblox.com/games/2534724415/Emergency-Response-Liberty-County?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2534724415&position=65&universeId=903807016
Alternate Battlegrounds,@Qnixu,79%,"4,020","290,449",82445426,1/18/2022,05/10/2023,Fighting,12,https://www.roblox.com/games/8573962925/Alternate-Battlegrounds?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8573962925&position=69&universeId=3267638623
Strongman Simulator,The Gang Stockholm,93%,"7,538","1,779,123",1039463147,05/04/2021,05/11/2023,All Genres,10,https://www.roblox.com/games/6766156863/Strongman-Simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6766156863&position=67&universeId=2564505263
The Intruder,@Official_Bulderme,91%,"2,017","373,419",74178744,11/22/2021,05/03/2023,Horror,30,https://www.roblox.com/games/8073154099/The-Intruder?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8073154099&position=70&universeId=3109731140
Jenga,@PortABoi,75%,"2,320","521,342",188279607,11/03/2018,8/31/2022,All Genres,21,https://www.roblox.com/games/2537430692/Jenga?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2537430692&position=71&universeId=905198065
Build to Survive,Survival_Games,77%,"7,656","425,572",321338002,8/14/2021,02/11/2023,Horror,6,https://www.roblox.com/games/7250769796/Build-to-Survive?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7250769796&position=73&universeId=2826640183
Broken Bones IV,@Zaquille,87%,"2,091","3,879,535",973761716,11/07/2018,03/05/2023,Comedy,50,https://www.roblox.com/games/2551991523/Broken-Bones-IV?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2551991523&position=78&universeId=911750776
Bloxy Bingo,Bloxy Bingo,83%,"1,889","726,410",171340992,6/27/2020,4/28/2023,Town and City,80,https://www.roblox.com/games/5244411056/Bloxy-Bingo?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5244411056&position=72&universeId=1836146838
